'DeficitLemma.deficit_term_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'DeficitLemma.deficit_choose_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'DeficitLemma.atom_A' depends on axioms: [propext, Classical.choice, Quot.sound]
'DeficitLemma.atom_a' depends on axioms: [propext, Classical.choice, Quot.sound]
'DeficitLemma.atom_D' depends on axioms: [propext, Classical.choice, Quot.sound]
'DeficitLemma.key_core' depends on axioms: [propext, Classical.choice, Quot.sound]
'DeficitLemma.key_shifted' depends on axioms: [propext, Classical.choice, Quot.sound]
'DeficitLemma.key15' depends on axioms: [propext, Classical.choice, Quot.sound]
'DeficitLemma.margin_core' depends on axioms: [propext, Classical.choice, Quot.sound]
'DeficitLemma.marginTarget' depends on axioms: [propext, Classical.choice, Quot.sound]
